Running challenge 18
26,67
47,59
34,67
7,7
10,29
6,29
13,23
58,59
11,38
13,9
21,5
70,47
15,24
23,24
51,43
10,9
61,45
18,13
31,57
27,27
14,29
40,45
31,51
59,30
17,64
20,25
3,16
25,6
3,10
35,65
67,49
5,1
17,9
65,27
34,47
19,26
55,43
17,4
12,27
61,43
15,7
29,4
19,2
50,49
59,47
54,51
27,1
37,53
63,47
19,11
41,42
11,43
28,67
17,3
53,43
39,47
51,49
65,64
31,65
69,44
31,55
25,7
29,51
23,23
47,43
63,37
9,35
55,52
2,19
55,58
54,27
35,55
67,41
42,53
67,62
37,11
15,28
3,25
5,20
25,15
4,17
23,3
57,52
40,41
13,20
54,61
13,19
31,68
4,1
64,53
33,7
25,51
24,5
31,14
65,33
19,21
29,5
60,53
68,57
15,1
13,10
55,56
50,43
55,35
17,22
31,49
30,49
59,70
53,29
9,1
59,63
59,56
3,1
55,47
30,47
15,21
13,38
51,41
25,16
27,7
33,65
69,34
9,13
69,43
57,57
61,47
22,13
64,59
57,53
11,7
61,40
62,69
27,5
69,67
49,57
54,37
55,45
27,58
61,30
12,13
65,57
63,27
5,9
36,57
25,14
60,27
69,33
31,63
17,20
57,26
59,29
69,55
33,63
13,11
15,6
9,9
43,56
65,63
60,47
25,5
63,42
35,53
6,11
15,19
45,43
27,21
7,9
7,29
48,41
67,58
66,57
65,65
9,17
22,23
69,60
67,39
67,45
35,42
25,60
20,13
33,15
20,11
27,63
33,47
69,49
33,11
59,62
35,52
55,53
43,55
44,41
65,41
10,3
39,48
12,7
16,9
61,48
63,26
62,45
57,33
15,25
5,19
31,7
6,15
13,17
3,17
53,54
60,51
21,21
15,2
35,22
41,56
0,9
8,37
10,25
67,51
63,67
9,4
59,68
48,53
33,62
66,33
39,42
23,19
25,9
63,41
52,57
2,5
53,45
11,27
1,16
57,38
50,57
49,34
19,15
47,51
36,47
64,61
3,14
5,28
29,19
69,41
28,57
35,60
63,33
7,18
32,23
5,46
17,1
55,51
23,5
28,21
22,5
13,32
61,53
31,3
9,15
7,15
57,54
48,43
33,53
30,55
69,56
48,51
24,17
53,59
57,36
5,24
69,39
32,57
39,7
29,15
29,59
45,57
27,12
3,21
20,7
33,52
56,29
4,13
41,53
49,63
9,22
68,49
29,11
49,43
33,19
22,9
21,13
67,35
69,54
30,29
45,50
7,20
23,11
19,29
3,9
65,31
8,27
64,49
11,0
11,25
12,15
59,39
59,26
45,55
38,55
59,53
24,23
62,67
6,17
11,36
31,54
51,59
21,64
61,50
57,28
4,19
66,29
5,31
57,59
11,30
19,14
9,7
36,49
19,4
63,34
27,4
23,21
68,29
64,57
29,1
7,3
66,35
50,53
55,39
62,29
63,35
67,44
4,7
11,1
1,11
47,41
25,2
58,27
67,42
64,65
57,45
19,22
17,37
30,1
55,31
31,47
57,29
61,69
69,42
21,9
19,3
37,54
27,8
2,1
63,51
67,66
3,15
44,49
11,33
64,29
61,31
63,43
20,1
70,67
23,1
14,27
10,39
45,49
35,15
65,55
45,46
35,50
17,17
5,13
57,55
61,67
39,55
21,3
54,55
21,63
15,12
63,44
61,33
7,26
65,51
27,3
17,12
65,46
59,45
19,1
69,46
13,8
5,8
52,65
31,0
47,37
3,5
67,47
17,15
13,3
52,41
17,13
43,45
11,14
35,45
67,31
9,40
21,18
43,47
33,46
9,19
30,57
30,21
59,59
29,50
23,8
51,55
55,63
48,57
7,22
33,12
55,55
5,26
29,52
41,41
14,17
21,23
28,55
53,51
52,53
43,41
15,9
51,45
11,11
57,48
53,68
13,7
28,61
18,9
60,33
41,44
18,7
40,47
30,63
53,49
63,55
9,41
13,1
11,41
26,21
25,11
21,66
39,51
39,45
11,35
49,66
21,6
13,25
7,23
49,45
57,27
